web-scraper-order,web-scraper-start-url,tiltle,date,Sourse,link,link-href,key_words,whole_text,first_source,first_source-href,second_sourse,second_sourse-href,third_source,third_source-href
"1625069493-572","https://www.politifact.com/factchecks/list/?page=1&category=coronavirus&ruling=pants-fire","Cornell University professor Robert Oswald said “COVID-19 was imaginary and fictitious.”","stated on December 28, 2020 in a photo caption:","Facebook posts","Cornell University professor Robert Oswald said “COVID-19 was imaginary and fictitious.”","https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/cornell-virologist-did-not-say-covid-19-was-hoax/","Public Health




Facebook Fact-checks




Coronavirus







Facebook posts","","Robert Oswald, PhD","https://www.vet.cornell.edu/research/faculty/robert-oswald-phd","COVID Tracking Project","https://covidtracking.com/","Facebook post","https://archive.vn/a7uxu"
"1625069412-548","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","“The CDC has removed the ‘Covid-19 Pandemic’ and replaced it with ‘Covid-19 Outbreak’ on their website. It was never a pandemic.”","stated on September 8, 2020 in a Facebook post:","Facebook posts","“The CDC has removed the ‘Covid-19 Pandemic’ and replaced it with ‘Covid-19 Outbreak’ on their website. It was never a pandemic.”","https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/no-cdc-hasnt-stopped-calling-covid-19-pandemic/","Public Health




Facebook Fact-checks




Coronavirus







Facebook posts","No, the CDC hasn’t stopped calling COVID-19 a pandemic




If Your Time is short



• The World Health Organization declared COVID-19 a pandemic in March.
• There is no evidence the U.S. Centers for Disease Control and Prevention removed the term “pandemic” and replaced it with “outbreak” on its website homepage; “outbreak” has been used on the homepage for months.
• On many pages, the CDC website refers to “the COVID-19 pandemic.”



See the sources for this fact-check




On March 11, the World Health Organization declared COVID-19 a pandemic. At the time, more than 118,000 cases of COVID-19 had been identified in over 110 countries worldwide, and the disease has continued to spread since.
Now, more than 27 million cases of COVID-19 have been reported globally, according to Johns Hopkins University’s Coronavirus Resource Center. But some social media users are still questioning the terms used to describe the disease.
""The CDC has removed the ‘Covid-19 Pandemic’ and replaced it with ‘Covid-19 Outbreak’ on their website,"" one Facebook post says. ""It was never a pandemic.""
The post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)
The post mischaracterizes the coronavirus updates on the U.S. Centers for Disease Control and Prevention’s website homepage.
As early as Jan. 18, the CDC’s top homepage story was about the coronavirus. ""CDC is closely monitoring an outbreak caused by a novel (new) coronavirus in Wuhan City, China,"" the story said, according to an archived version of the page.
The CDC was also using the term ""outbreak"" in February and March, archived pages show.
The CDC homepage still refers to the virus as an outbreak on its homepage.
However, the use of the term ""outbreak"" doesn’t mean COVID-19 is not a pandemic, as the CDC’s website explains.
The site defines outbreak as ""a higher-­than-expected number of occurrences of disease in a specific location and time.""

Featured Fact-check
















Instagram posts


stated on June 2, 2021 in an Instagram post








An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.












By Tom Kertscher • June 2, 2021







""An outbreak is called an epidemic when there is a sudden increase in cases. As COVID-19 began spreading in Wuhan, China, it became an epidemic,"" the website explains. ""Because the disease then spread across several countries and affected a large number of people, it was classified as a pandemic.""
The CDC site uses the term ""outbreak"" to describe COVID-19 on its homepage, while ""pandemic"" is used elsewhere on the site.
The post also incorrectly asserts that COVID-19 was never a pandemic.
The World Health Organization declared COVID-19 a pandemic on March 11 and has not changed that designation. 
The CDC refers to COVID-19 as a pandemic on various website pages dedicated to providing coronavirus information, including the ""Global COVID-19"" page, the ""Travel during the COVID-19 Pandemic"" page and others.
The CDC’s page about influenza pandemics, which was last updated on May 12, plainly declares: ""The United States is NOT currently experiencing an influenza pandemic. There is an ongoing pandemic with a new coronavirus.""
Our ruling
A Facebook post claims, ""The CDC has removed the ‘Covid-19 Pandemic’ and replaced it with ‘Covid-19 Outbreak’ on their website. It was never a pandemic.""
The CDC website’s homepage currently refers to the ""novel coronavirus outbreak,"" and has been using that term since January. But there is no evidence the CDC removed the word ""pandemic"" to replace it with ""outbreak."" 
The World Health Organization declared COVID-19 a pandemic in March, and the CDC website still refers to ""the COVID-19 pandemic"" on several of its pages.
We rate this claim Pants on Fire!","""Travel during the COVID-19 Pandemic,""","https://www.cdc.gov/coronavirus/2019-ncov/travelers/travel-during-covid19.html","""Case Investigation and Contact Tracing : Part of a Multipronged Approach to Fight the COVID-19 Pandemic,""","https://www.cdc.gov/coronavirus/2019-ncov/php/principles-contact-tracing.html","Facebook post","https://archive.vn/q43xg"
"1625069272-510","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","“We’ve tested more than every country combined.”","stated on April 27, 2020 in comments made during a White House briefing:","Donald Trump","“We’ve tested more than every country combined.”","https://www.politifact.com/factchecks/2020/apr/30/donald-trump/trumps-boasts-testing-spring-cherry-picking-data/","Health Check




Coronavirus







Donald Trump","","Tweet","https://twitter.com/realDonaldTrump/status/1254061979607711745?s=20","YouTube","https://www.youtube.com/watch?v=cOA6Xt6lpOQ&t=231","April 24","https://www.youtube.com/watch?v=cOA6Xt6lpOQ&t=231"
"1625069093-457","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","Says 20 million Chinese converted to Islam after it’s proven that the coronavirus doesn’t affect Muslims.","stated on February 18, 2020 in a YouTube post:","Viral image","Says 20 million Chinese converted to Islam after it’s proven that the coronavirus doesn’t affect Muslims.","https://www.politifact.com/factchecks/2020/feb/25/viral-image/no-millions-chinese-didnt-convert-islam-seeking-co/","China




Islam




Public Health




Religion




Coronavirus







Viral image","","20m Chinese gets converted to Islam after it is proven that corona virus did not affect the Muslims","https://www.youtube.com/watch?v=oD2eI8b72wE&fbclid=IwAR18AK5ffqC_2-VysfPN_WXEfdCelyk3NBhQ1-p8lIF8p0c9jc1NyM6mSaE","Coronavirus disease (COVID-19) outbreak","https://www.who.int/emergencies/diseases/novel-coronavirus-2019","partnership with Facebook","https://www.facebook.com/help/1952307158131536?helpref=related"
"1625069221-494","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says the NBA is asking Donald Trump to “resign or we’ll never play again.”","stated on April 5, 2020 in a fake news article:","Bloggers","Says the NBA is asking Donald Trump to “resign or we’ll never play again.”","https://www.politifact.com/factchecks/2020/apr/06/blog-posting/fake-news-website-republishes-satirical-story-abou/","Facebook Fact-checks




Coronavirus







Bloggers","Fake news website republishes satirical story about NBA season, Trump




If Your Time is short





The NBA suspended its season in mid-March after a Utah Jazz player tested positive for the coronavirus.


There is no evidence NBA players voted to suspend games until Trump was removed from office. The fake news story was copied from a website that claims to be satirical.





See the sources for this fact-check




A fake news story shared on Facebook claims the NBA is considering canceling its season not because of the coronavirus, but because President Donald Trump is still in office.
The article, published on a website called ""NewYork One News"" on April 5, says players ""held a secret vote"" prior to the start of the season to suspend games until Trump is removed or voted out of office. As evidence, it cites anonymous sources.
""Since much of the league is made up of Hollywood actor and musician wannabes, these millionaire crybabies overwhelming voted to approve the measure,"" reads the story, which has been shared in pro-Trump and Fox News fan groups on Facebook.
The article was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)

(Screenshot from NewYorkOneNews.com)

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







The NBA suspended its season in mid-March after a Utah Jazz player tested positive for the coronavirus. More recent reports suggest the league could cancel the rest of its season due to the pandemic.
But there is no evidence that NBA players voted to suspend games until Trump was removed from office. The fake news story was copied from a website that claims to be satirical.
The website, BustaTroll.org, says on its about page that it’s part of the ""‘America’s Last Line of Defense’ network of parody, satire, and tomfoolery"" and ""everything on this website is fiction."" The network is run by a man named Christopher Blair, a Maine man who has said his goal is to trick conservatives into sharing made-up content on Facebook.
Fake news websites often copy Blair’s stories to get clicks and generate digital advertising revenue. While Blair’s sites have disclaimers warning that the content is made-up, websites that copy his content typically do not. In January, we investigated how a network of more than 100 hoax sites republished Blair’s articles to become a popular source of misinformation on Facebook, where users shared the stories as if they were true.
Just like those sites, NewYork One News is bogus. Public domain records indicate the site was registered in mid-February and uses Google AdSense to monetize its articles.
The article is inaccurate and makes a ridiculous claim. We rate it Pants on Fire!","About page","https://web.archive.org/web/20200406155526/https://bustatroll.org/about-us/","NBA to Trump: Resign or We’ll Never Play Again","https://web.archive.org/web/20200406154947/https://bustatroll.org/2020/03/23/nba-to-trump-resign-or-well-never-play-again/","NBA suspends season until further notice after player tests positive for the coronavirus","https://www.espn.com/nba/story/_/id/28887560/nba-suspends-season-further-notice-player-tests-positive-coronavirus"
"1625069187-483","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","“COVID literally stands for Chinese Originated Viral Infectious Disease.”","stated on March 25, 2020 in a Facebook post:","Viral image","“COVID literally stands for Chinese Originated Viral Infectious Disease.”","https://www.politifact.com/factchecks/2020/mar/30/viral-image/covid-stands-coronavirus-disease-2019/","China




Facebook Fact-checks




Coronavirus







Viral image","","post","https://www.facebook.com/photo.php?fbid=511052243179838&set=a.113303022954764&type=3&theater","Trump defends using ‘Chinese Virus’ label, ignoring growing criticism","https://www.nytimes.com/2020/03/18/us/politics/china-virus.html","partnership with Facebook","https://www.facebook.com/help/1952307158131536?helpref=related"
"1625069260-507","https://www.politifact.com/factchecks/list/?page=3&category=coronavirus&ruling=pants-fire","Says Bill O'Reilly wrote a post claiming that the coronavirus was created as a bioweapon by the Chinese government.","stated on April 11, 2020 in a Facebook post:","Facebook posts","Says Bill O'Reilly wrote a post claiming that the coronavirus was created as a bioweapon by the Chinese government.","https://www.politifact.com/factchecks/2020/apr/23/facebook-posts/no-bill-oreilly-didnt-claim-covid-19-bioweapon-cre/","Fake news




Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://www.facebook.com/dan.harvell.1/posts/10157950006987508","The CoronaVirusFacts/DatosCoronaVirus Alliance Database","https://www.poynter.org/ifcn-covid-19-misinformation/?search_terms=lab","Fact-checking hoaxes and conspiracies about the coronavirus","https://www.politifact.com/article/2020/jan/24/fact-checking-hoaxes-and-conspiracies-about-corona/"
"1625069189-484","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","“I didn’t say that” some of the medical equipment that governors are requesting, they don't actually need.","stated on March 29, 2020 in a press conference:","Donald Trump","“I didn’t say that” some of the medical equipment that governors are requesting, they don't actually need.","https://www.politifact.com/factchecks/2020/mar/30/donald-trump/reporter-was-right-trump-did-question/","Public Health




Coronavirus







Donald Trump","Reporter was right: Trump did question governors’ ventilator requests




If Your Time is short



• When journalist Yamiche Alcindor asked a question of President Donald Trump, she was accurately citing a previous comment Trump had made on Sean Hannity’s Fox News show.
• During the interview with Hannity, Trump said, “I have a feeling that a lot of the numbers (for ventilators) that are being said in some areas are just bigger than they're going to be. I don't believe you need 40,000 or 30,000 ventilators.”



See the sources for this fact-check




President Donald Trump argued with ""PBS NewsHour"" reporter Yamiche Alcindor over what the president had said, or hadn’t said, about New York’s need for ventilators.
Ventilators are a type of medical equipment considered vital for saving the lives of patients hit hardest by the virus. New York Gov. Andrew Cuomo has made urgent calls for more ventilators to cope with a rising number of hospitalizations in his state due to coronavirus.
""All the predictions say you could have an apex needing 140,000 beds and about 40,000 ventilators,"" Cuomo told reporters March 27, citing estimates by Weill Cornell Medicine, the Centers for Disease Control and Prevention, and McKinsey & Co.
Anthony Fauci, a leading infectious-disease specialist who is on the White House’s coronavirus task force, told CNN, ""There are a lot of different calculations. My experience, I tend to believe Gov. Cuomo."" 
The exchange between Trump and Alcindor came during a March 29 Rose Garden press conference. It unfolded this way:
Alcindor: ""You've said repeatedly that you think that some of the equipment that governors are requesting, they don't actually need. You said New York might need —""
Trump: ""I didn’t say that.""
Alcindor: ""— might not need 30,000.""
Trump: ""I didn’t say that.""
Alcindor: ""You said it on Sean Hannity’s, Fox News.""
Trump: ""I didn’t say — come on. Come on.""

Featured Fact-check
















Instagram posts


stated on June 2, 2021 in an Instagram post








An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.












By Tom Kertscher • June 2, 2021







The exchange continued, with Trump at one point telling Alcindor, ""Be nice. Don’t be threatening."" He later cut her off before she was able to ask her second question, although another reporter subsequently handed her the microphone so that she could ask it.
Here, we’ll look at the substance of the dispute between Trump and Alcindor. Which of them was right about what he said during a March 26 phone interview on Hannity’s show on Fox News? 
Alcindor was.
When we looked at Trump’s interview with Hannity, we found two portions in which Trump addressed this question.
Here’s the first:

""Gov. Cuomo and others that say we want, you know, 30,000 of them (ventilators). 30,000! All right. Think of this. You know, you go to hospitals, they'll have one in a hospital. And now, all of a sudden everybody's asking for these vast numbers.""

Later, Hannity picked up on this theme. Hannity said he was ""kind of angry at Andrew Cuomo. I had a great — I had him on radio for 40 minutes, great conversation. I grew up in — I was born and raised in New York. And then it's, ‘I need 30,000 ventilators.’ And I'm like OK, it really — it was annoying me.""
Trump subsequently echoed this sentiment.

""New York is a bigger deal. But it's going to go also. But I have a feeling that a lot of the numbers that are being said in some areas are just bigger than they're going to be. I don't believe you need 40,000 or 30,000 ventilators. You know, you're going to major hospitals sometimes, they'll have two ventilators. And now, all of a sudden, they're saying, can we order 30,000 ventilators?""

So, contrary to Trump’s repeated denials during the press conference, this passage clearly shows that the president told Hannity that he feels the numbers of ventilators being requested by governors, including Cuomo, are higher than what’s needed.
Our ruling
Trump told Alcindor that ""I didn’t say that"" some of the equipment that governors are requesting, they don't actually need.
That’s directly refuted by Trump’s comments during Hannity’s show, in which he said, ""I have a feeling that a lot of the numbers that are being said in some areas are just bigger than they're going to be. I don't believe you need 40,000 or 30,000 ventilators.""
We rate the statement Pants on Fire.","press conference","https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vice-president-pence-members-coronavirus-task-force-press-briefing-14/","Donald Trump interview with Sean Hannity","https://factba.se/transcript/donald-trump-interview-hannity-fox-news-march-26-2020","told reporters","https://nypost.com/2020/03/27/coronavirus-in-ny-cuomo-defends-need-for-30k-ventilators-after-trump-called-it-overblown/"
"1625069457-561","https://www.politifact.com/factchecks/list/?page=2&category=coronavirus&ruling=pants-fire","The number of coronavirus deaths is “almost nothing.”","stated on October 29, 2020 in a Fox News appearance:","Donald Trump Jr.","The number of coronavirus deaths is “almost nothing.”","https://www.politifact.com/factchecks/2020/oct/30/donald-trump-jr/donald-trump-jr-claims-covid-19-deaths-almost-noth/","Coronavirus







Donald Trump Jr.","Donald Trump Jr. claims COVID-19 deaths at ‘almost nothing’ as U.S. reports 1,000 new deaths




If Your Time is short





The U.S. reported roughly 1,000 new coronavirus deaths on Oct. 29, the day that Donald Trump falsely claimed the number of deaths was down to “almost nothing.”


Trump cited an Instagram post based on provisional death counts from the CDC. The CDC says such data is “incomplete” and “will likely not include all deaths that occurred during a given time period, especially for the more recent time periods.”


The U.S. has reported over 229,000 coronavirus deaths to date, the most in the world. The CDC continues to find “excess deaths” above what would normally be expected.





See the sources for this fact-check




Donald Trump Jr. falsely claimed that the number of coronavirus deaths had plummeted to ""almost nothing,"" dismissing the impact of the pandemic on a day in which the U.S. reported a record-breaking number of new cases and roughly 1,000 more deaths.
In an Oct. 29 interview with Fox News host Laura Ingraham, President Donald Trump’s eldest son said CNN medical correspondent Sanjay Gupta and others worried about surging new cases and the impact of the president’s large-scale rallies were ""truly morons.""
""The reality is this: If you look, I put it up on my Instagram a couple days ago, because I went through the CDC data, because I kept hearing about new infections,"" Trump said, referring to the Centers for Disease Control and Prevention. ""But I was like, ‘Well, why aren’t they talking about deaths?’ Oh, oh, because the number is almost nothing.""
Jr. claims Coronavirus death numbers are down to “almost nothing” pic.twitter.com/NGMDLYkdsD— Acyn Torabi (@Acyn) October 30, 2020 
""If you look at that, look at my Instagram, it’s gone to almost nothing,"" he added.
Experts rejected Trump’s false claim about COVID-19 deaths. It came on the same day that the U.S. reported a record number of new cases and around 1,000 deaths due to the virus, according to Johns Hopkins University, the COVID Tracking Project and other sources. 
""There is no other way to slice these data — 1,000 deaths per day is most assuredly not ‘nothing,’"" said Brooke Nichols, an assistant professor of global health at Boston University.
She called the claim ""particularly absurd"" and ""extraordinarily cruel"" to those who have recently lost loved ones to the virus.
The Trump campaign did not respond to a request for comment.
Recent daily death counts
The death rate has declined since the spring. Some explanations that have come up in our reporting include doctors understanding the disease better and masks becoming more common.
But Amesh Adalja, a senior scholar at the Johns Hopkins Center for Health Security, said the recent daily death tallies can ""by no measure"" be considered ""almost nothing."" 
The Trump administration’s coronavirus testing czar, Adm. Brett Giroir, said Oct. 28 that with the recent upticks in cases and hospitalizations, ""we are starting to see the increase in deaths.""

RELATED: No, fight against coronavirus isn't rounding the corner, as Donald Trump said
As the calendar turns to November, the U.S. has had more than 229,000 COVID-19 deaths, the most in the world, according to Johns Hopkins University. That’s nearly 20% of the world’s total, in a country with about 4% of the global population.
Data from Johns Hopkins University and the World Health Organization shows the U.S. has also reported more deaths on a per capita basis than a number of other similar countries. 

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







One recent CDC study said the U.S. has seen ""excess deaths"" related to the coronavirus every week since March. The study said the U.S. has lost an estimated 299,028 more lives since Jan. 26, 2020, than would be expected.
""These are deaths that we wouldn’t normally expect,"" said Mary Jo Trepka, a professor and the chair of the epidemiology department at Florida International University.

Activists mark 200,000 COVID-19 deaths in the U.S. with American flags on the National Mall in Washington on Sept. 22, 2020. (AP)
RELATED: COVID-19 by the numbers: A status report
Provisional death counts are lagging and incomplete
Trump’s Instagram post shows a chart that is labeled Oct. 26. The image says that data comes from the CDC, and it includes a link that directs to the agency’s provisional death count data.
Alexis C. Madrigal, a reporter with the Atlantic who helped launch the COVID Tracking Project, noted on Twitter that Trump appeared to have made ""a common misinterpretation"" of what the provisional death counts are able to show.
The provisional death counts lag by a few weeks, because they are based on death certificates that take time to report and process. The CDC says its provisional death counts ""may differ from other published sources."" The agency says the data is ""incomplete"" and ""will likely not include all deaths that occurred during a given time period, especially for the more recent time periods."" 
For those reasons, experts told PolitiFact that the provisional counts shouldn’t be used to draw conclusions about the impact of the virus in the most recent weeks. 
""There’s such a delay in terms of the classification of deaths that of course it’s going to look like there’s hardly any deaths over the last couple of weeks,"" Trepka said. 
""You can’t say anything definitive about provisional data when we know there are likely to be revisions,"" Adalja added. 
The more telling figures, Trepka said, are the excess death estimates over time.
Scientists have warned that colder weather and state reopenings could bring a staggering death toll in the winter, as the continued coronavirus threat overlaps with the flu season.
""If things do not change, if they continue on the course we’re on, there’s going to be a whole lot of pain in this country with regard to additional cases and hospitalizations and deaths,"" said Dr. Anthony Fauci, the nation’s top infectious disease expert, in an Oct. 28 interview with CNBC.
Our ruling
Trump said the number of coronavirus deaths is ""almost nothing.""
Experts rejected the claim, which came on a day when the U.S. reported roughly 1,000 new coronavirus deaths. The country leads the world with over 229,000 total COVID-19 deaths. 
With those numbers, it’s ridiculous to say deaths are down to ""almost nothing.""
Trump pointed viewers to a post on his Instagram account that appeared to show provisional death counts from the CDC. But his post left out a key CDC disclaimer, which said that such provisional counts are incomplete due to lags in reporting death certificate results. The result was a gross misrepresentation of where the trend lines are heading.
We rate this claim Pants on Fire!","Twitter","https://twitter.com/Acyn/status/1322001939266109441?s=20","Instagram","https://www.instagram.com/p/CG3OkqbljKv/","""COVID-19 Dashboard by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University (JHU),""","https://coronavirus.jhu.edu/map.html"
"1625069166-477","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says ""there is no"" COVID-19 virus.","stated on March 19, 2020 in a post:","Facebook posts","Says ""there is no"" COVID-19 virus.","https://www.politifact.com/factchecks/2020/mar/19/facebook-posts/facebook-users-are-claiming-there-no-coronavirus-s/","Facebook Fact-checks




Coronavirus







Facebook posts","Facebook users are claiming there ‘is no’ coronavirus. That’s ridiculously wrong




If Your Time is short





The coronavirus is real and infecting thousands of people around the world.


As of March 19, COVID-19 had infected more than 191,000 people around the world and resulted in 7,807 deaths.





See the sources for this fact-check




Since January, PolitiFact has fact-checked more than 100 claims about COVID-19. Some of the falsehoods, such as conspiracy theories about the virus’ spread, are quite elaborate.
A more recent Facebook post is not one of those claims.
In a March 19 post, a Facebook user said the coronavirus doesn’t actually exist.
""There is no virus,"" the user wrote in all capital letters. ""The government is trying to enforce martial law and place a chip inside of us as a ‘vaccine.’""
The post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) It had more than 8,000 shares as of March 19.

(Screenshot from Facebook)
The post is bogus — it’s similar to a conspiracy theory that falsely claims the media and politicians have fabricated the threat of COVID-19. There is ample evidence that the coronavirus is real and infecting hundreds of thousands of people around the world.

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”













By Ciara O'Rourke • June 2, 2021







Scientists have traced the first confirmed case of COVID-19 to Hubei Province, China, in November. Several news outlets covered the subsequent outbreak in the city of Wuhan, the epicenter of the coronavirus pandemic.
From there, the coronavirus spread to more than 100 countries around the world. As of March 19, more than 191,000 people had been infected and 7,807 had been killed by the virus, according to the World Health Organization.
Footage from a variety of news outlets has documented the spread of COVID-19. Scientists have isolated the genetic data and approximate origin of the virus, as well as how different groups of people are affected. They’ve also released microscopic images of coronavirus virions.
RELATED: 7 ways to avoid misinformation during the coronavirus pandemic
According to the Centers for Disease Control and Prevention, COVID-19 is a betacoronavirus like Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS). All three have their origins in bats and cause symptoms like cough, shortness of breath and fever. COVID-19 is a ""novel,"" or new, coronavirus, meaning it had not been previously identified.
The WHO has declared the COVID-19 outbreak to be a pandemic and global health emergency. On the advice of health officials, several countries — including France, Italy and Spain — have ordered nationwide lockdowns to prevent the spread of the virus. Coronavirus prevention measures have caused the plunge of global financial markets, as well as layoffs across the country.
To claim that the virus at the center of the pandemic does not exist, as the Facebook post does, is inaccurate and ridiculous. We rate it Pants on Fire!","Coronavirus: Photos From Wuhan Under Quarantine","https://www.theatlantic.com/photo/2020/01/coronavirus-photos-wuhan-under-quarantine/605605/","Pictures show the first coronavirus patients arriving at the new Wuhan hospital China panic-built in 10 days","https://www.businessinsider.com/pictures-show-first-coronavirus-patients-arriving-at-wuhan-hospital-2020-2","a March 19 post","https://archive.fo/abemm"
"1625069198-487","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says students have to repeat the same grade next year.","stated on March 31, 2020 in a Facebook post:","Facebook posts","Says students have to repeat the same grade next year.","https://www.politifact.com/factchecks/2020/mar/31/facebook-posts/dont-fall-these-hoaxes-about-students-having-repea/","Education




Facebook Fact-checks




Coronavirus







Facebook posts","","post","https://www.facebook.com/photo.php?fbid=2627094927569050&set=a.1380332205578668&type=3&theater","Prank","https://introtimes.com/vip/1030328/all-pennsylvania-kids-to-repeat-their-current-grade-next-year-1366","Seven states in the U.S. have now extended school closures for the rest of the year","https://www.newsweek.com/7-states-us-have-now-extended-school-closures-rest-year-1495120"
"1625069105-461","https://www.politifact.com/factchecks/list/?page=5&category=coronavirus&ruling=pants-fire","“Hair weave and lace fronts manufactured in China may contain the coronavirus.”","stated on February 26, 2020 in an Internet post:","Bloggers","“Hair weave and lace fronts manufactured in China may contain the coronavirus.”","https://www.politifact.com/factchecks/2020/feb/29/blog-posting/hair-extensions-arent-source-2019-coronavirus/","Facebook Fact-checks




Coronavirus







Bloggers","","Stranded lobsters and missing wedding dresses: The coronavirus is a daily reminder of China's global reach","https://www.cnn.com/2020/02/24/business/china-coronavirus-global-impact-intl/index.html","Slowed by the Coronavirus, China Inc. Struggles to Reopen","https://www.nytimes.com/2020/02/17/business/china-coronavirus-economy.html","Check the label: China now dominates the low-cost hair extension business","https://qz.com/africa/1375678/black-hair-extensions-china-overtakes-india-in-africa-market/"
"1625069191-485","https://www.politifact.com/factchecks/list/?page=4&category=coronavirus&ruling=pants-fire","Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.","stated on March 20, 2020 in a text post:","Facebook posts","Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.","https://www.politifact.com/factchecks/2020/mar/30/facebook-posts/congress-did-not-give-itself-raise-coronavirus-sti/","Congress




Facebook Fact-checks




Coronavirus







Facebook posts","Congress did not give itself a raise in the coronavirus stimulus package




If Your Time is short





No version of the Coronavirus Aid, Relief, and Economic Security Act grants pay raises for members of Congress.


The House and Senate are slated to receive $35 million from the stimulus. The money will go toward offsetting the costs of maintaining congressional law enforcement and child care staff, as well as improving teleworking capabilities.





See the sources for this fact-check




The $2 trillion economic relief package that President Donald Trump signed March 27 is aimed at giving aid to Americans affected by the COVID-19 pandemic. But some widely shared posts on Facebook claim the legislation helps Congress more than workers.
While the stimulus, officially known as the Coronavirus Aid, Relief, and Economic Security (CARES) Act, will dole out $1,200 checks to every adult making less than $75,000 per year, a March 26 post says the cash is pennies compared to the pay raise that legislators are giving themselves.
""Congress wants $25 million for raises. That’s $46,700 each,"" the text post reads. ""Now who’s thinking of you.""
Another post, published March 20, asserts that the House of Representatives voted to award its members an extra $8,000 per month instead of giving aid to senior citizens. A March 25 post is even more specific, claiming the congressional pay raise is on page 134 of the stimulus.
The posts were flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Collectively, they’ve been shared more than 140,000 times.

(Screenshot from Facebook)
The CARES Act is the largest economic relief bill in U.S. history. The legislation offers economic support in the form of small business loans, tax cuts, and health-related spending. In addition to sending cash to everyday Americans, the law will give aid to the airline industry, which has been hard-hit by the coronavirus pandemic.
We’ve seen a lot of misinformation about the stimulus, so we wanted to look into these Facebook posts to see if there’s any truth to them. 

Featured Fact-check
















Viral image


stated on June 1, 2021 in a Facebook post








“U.S. military arrests Dr. Deborah Birx.”












By Ciara O'Rourke • June 2, 2021







While the CARES Act does allocate money to some Capitol employees, there is nothing in the legislation that gives a pay raise to members of Congress. Several fact-checkers have debunked the claim.
""The CARES Act does not provide either a pay raise or any funding for Member salaries,"" said Evan Hollander, communications director for the House Appropriations Committee, in an email. ""Likewise, no version of the legislation — House or Senate — ever included provisions for a Member pay raise or funding for salaries.""
We checked page 134 of the stimulus package as it appeared on March 25, when one of the Facebook posts was published. It contains information about grants given to states that have ""short-time compensation programs,"" which are alternatives to layoffs for employers that experience a reduction in available work. Under the programs, employees who have their hours cut are permitted to collect a percentage of unemployment benefits to make up for lost wages.
RELATED: The Senate stimulus bill: What’s in it for you
The March 25 version of the CARES Act said nothing about pay increases for Congress. Neither does the final version of the stimulus.
Hollander said there is $25 million in the stimulus to ""support the House’s capability to telework,"" including equipment purchases and improvements to the network. There is also money for reimbursing the staff of the House Child Care Center, covering the costs of food service contracts and paying the House sergeant-at-arms.
Meanwhile, the Senate is slated to get $10 million from the stimulus. $1 million will go to the sergeant-at-arms to remain available for coronavirus response while $9 million will be reserved for ""miscellaneous items,"" including reimbursement for workers at the Senate Employee Child Care Center.
The Facebook posts are inaccurate and make a ridiculous claim. We rate them Pants on Fire!","NOT REAL NEWS: Debunking Yet More False Coronavirus Content","https://www.nytimes.com/aponline/2020/03/27/us/ap-not-real-news.html","Pelosi forecasts House OK of Senate’s $2.2T virus aid plan","https://apnews.com/edd230801c0e181169915e67b1fd64c6","H.R.748","https://www.congress.gov/116/bills/hr748/BILLS-116hr748eas.pdf"
